local_year_month,Unnamed: 0,station_id,V1,organization,region,local,lat,long,date,chla,tss,secchi_m,acdom440,OWT,Rrs443,Rrs483,Rrs561,Rrs655,Rrs850,predicted
Vietnam2_2019_03,108,AGID_2171,1307,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,93.8,,0.295479295,,,0.0081172037489582,0.0118611406315706,0.0231539889946951,0.0146640043426763,0.0,0.6621083
Vietnam2_2019_03,109,AGID_2172,1308,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,94.6,,0.277055523,,,0.005520252249711,0.0094517001958175,0.0205013004316145,0.0126377760450409,0.0,0.46639967
Vietnam2_2019_03,110,AGID_2173,1309,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,97.58235223,,0.360110426,,,0.0045330929650645,0.0077574643192892,0.0185160383703304,0.0125270710036783,0.0,0.4499569
Vietnam2_2019_03,111,AGID_2174,1310,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,92.43221869,,0.273625326,,,0.0043085082483074,0.0075463754196328,0.0183613053107972,0.0124919008580116,0.0,0.45644242
Vietnam2_2019_03,112,AGID_2175,1311,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,106.0,,0.302991564,,,0.0052248059454177,0.0081740177964421,0.0182335509590914,0.0123240787592469,0.0,0.46291608
Vietnam2_2019_03,113,AGID_2176,1312,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,108.3,,0.29558921,,,0.0044355322306348,0.0074823867629547,0.0171221816223248,0.011712974256757,0.0,0.47036636
Vietnam2_2019_03,114,AGID_2177,1313,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,115.0,,0.270142045,,,0.002849988046,0.0058037376558676,0.0151307640708957,0.0100561791388934,0.0,0.48635286
Vietnam2_2019_03,115,AGID_2178,1314,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,97.0,,0.320909546,,,0.00221532521952,0.0051465256160154,0.0144872783946281,0.0095320665985852,0.0,0.5377382
Vietnam2_2019_03,116,AGID_2179,1315,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,91.2,,0.397,,,0.0021701270418893,0.0062194046827337,0.019582724811036,0.0177511861494601,0.0,0.39260685
Vietnam2_2019_03,117,AGID_2180,1317,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,94.0,,0.405,,,0.0016062801792721,0.0045664964464618,0.014423297924191,0.0141933203526546,0.0,0.4555052
Vietnam2_2019_03,118,AGID_2181,1318,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,80.3,,0.41,,,0.0020437620749535,0.0047907398752496,0.0136971922244156,0.0114296396757585,0.0,0.4935034
Vietnam2_2019_03,119,AGID_2182,1319,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,108.3,,0.294,,,0.0014376598104205,0.0039751744196836,0.0115333350795803,0.0082699644359179,0.0,0.56633496
Vietnam2_2019_03,120,AGID_2183,1320,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,96.7,,0.277055523,,,0.005520252249711,0.0094517001958175,0.0205013004316145,0.0126377760450409,0.0,0.46639967
Vietnam2_2019_03,121,AGID_2184,1321,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,92.5,,0.286054745,,,0.004506681420779,0.006936450475377,0.0138603238777698,0.0085817202070941,0.0,0.73657525
Vietnam2_2019_03,122,AGID_2185,1322,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,90.0,,0.260276721,,,0.0020165391028641,0.0048460447588227,0.0129269998951297,0.0070866719314775,0.0,0.79937774
Vietnam2_2019_03,123,AGID_2186,1323,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,65.9,,0.258246023,,,0.0035019926828027,0.0085059175142994,0.0234228727205589,0.0147140843943419,0.0,0.4493533
Vietnam2_2019_03,124,AGID_2187,1324,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,85.9,,0.28764,,,0.0041768301082019,0.0091408998820017,0.0242016149342496,0.0149133906410783,0.0,0.42450237
Vietnam2_2019_03,125,AGID_2188,1325,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,75.2,,0.216914748,,,0.002550037266601,0.004986038377578,0.0118116748337763,0.0066411451662069,0.0,0.7983668
Vietnam2_2019_03,126,AGID_2189,1326,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,80.0,,0.252416974,,,0.0023569411966717,0.0051557720398447,0.0131501118859104,0.0067154719272007,0.0,0.85900664
